"Date",Time,Air_Quality(PPM),Humidit,Temperature(C),Temperature(F),Heat_Index(C),Heat_Index(F)
16/11/2023,11:30,260.75,63.60,23.40,74.12,23.46,74.22
16/11/2023,11:31,186.53,63.40,23.40,74.12,23.45,74.21
16/11/2023,11:32,161.72,63.00,23.40,74.12,23.44,74.19
16/11/2023,11:33,139.42,63.00,23.40,74.12,23.44,74.19
16/11/2023,11:34,132.51,63.00,23.30,73.94,23.33,74.00
16/11/2023,11:35,135.94,63.00,23.30,73.94,23.33,74.00
16/11/2023,11:36,139.42,63.20,23.20,73.76,23.23,73.81
16/11/2023,11:37,132.51,63.10,23.20,73.76,23.22,73.80
16/11/2023,11:38,132.51,63.10,23.20,73.76,23.22,73.80
16/11/2023,11:39,135.94,63.10,23.20,73.76,23.22,73.80
16/11/2023,11:40,142.97,63.00,23.10,73.58,23.11,73.60
16/11/2023,11:41,142.97,63.10,23.10,73.58,23.11,73.60
16/11/2023,11:42,129.15,63.00,23.10,73.58,23.11,73.60
16/11/2023,11:43,139.42,63.00,23.20,73.76,23.22,73.80
16/11/2023,11:44,177.97,62.90,23.10,73.58,23.11,73.59
16/11/2023,11:45,177.97,62.80,23.10,73.58,23.11,73.59
16/11/2023,11:46,165.68,62.80,23.10,73.58,23.11,73.59
16/11/2023,11:47,161.72,62.80,23.10,73.58,23.11,73.59
16/11/2023,11:48,157.84,62.80,23.10,73.58,23.11,73.59
16/11/2023,11:49,157.84,62.70,23.10,73.58,23.10,73.58
16/11/2023,11:50,157.84,62.70,23.10,73.58,23.10,73.58
16/11/2023,11:51,150.27,62.70,23.10,73.58,23.10,73.58
16/11/2023,11:52,157.84,62.60,23.20,73.76,23.21,73.78
16/11/2023,11:53,161.72,62.60,23.10,73.58,23.10,73.58
16/11/2023,11:54,157.84,62.50,23.20,73.76,23.21,73.77
16/11/2023,11:55,165.68,62.40,23.20,73.76,23.20,73.77
16/11/2023,11:56,165.68,62.50,23.20,73.76,23.21,73.77
16/11/2023,11:57,165.68,62.60,23.20,73.76,23.21,73.78
16/11/2023,11:58,165.68,62.60,23.20,73.76,23.21,73.78
16/11/2023,11:59,165.68,62.50,23.20,73.76,23.21,73.77
16/11/2023,11:60,169.70,62.50,23.30,73.94,23.32,73.97
16/11/2023,12:00,165.68,62.70,23.20,73.76,23.21,73.78
16/11/2023,12:01,173.80,62.60,23.30,73.94,23.32,73.98
16/11/2023,12:02,169.70,62.80,23.20,73.76,23.22,73.79
16/11/2023,12:03,169.70,62.80,23.20,73.76,23.22,73.79
16/11/2023,12:04,177.97,62.80,23.20,73.76,23.22,73.79
16/11/2023,12:05,177.97,62.80,23.30,73.94,23.33,73.99
16/11/2023,12:06,169.70,62.90,23.20,73.76,23.22,73.79
16/11/2023,12:07,161.72,62.80,23.20,73.76,23.22,73.79
16/11/2023,12:08,165.68,62.70,23.20,73.76,23.21,73.78
16/11/2023,12:09,169.70,62.70,23.20,73.76,23.21,73.78
16/11/2023,12:10,173.80,62.70,23.20,73.76,23.21,73.78
16/11/2023,12:11,173.80,62.60,23.20,73.76,23.21,73.78
16/11/2023,12:12,169.70,62.50,23.30,73.94,23.32,73.97
16/11/2023,12:13,161.72,62.40,23.30,73.94,23.31,73.97
16/11/2023,12:14,161.72,62.50,23.20,73.76,23.21,73.77
16/11/2023,12:15,161.72,62.40,23.20,73.76,23.20,73.77
16/11/2023,12:16,161.72,62.40,23.20,73.76,23.20,73.77
16/11/2023,12:17,157.84,62.30,23.20,73.76,23.20,73.76
16/11/2023,12:18,146.59,62.40,23.20,73.76,23.20,73.77
16/11/2023,12:19,150.27,62.40,23.30,73.94,23.31,73.97
16/11/2023,12:20,150.27,62.10,23.30,73.94,23.31,73.95
16/11/2023,12:21,154.02,62.10,23.40,74.12,23.42,74.15
16/11/2023,12:22,154.02,62.00,23.40,74.12,23.41,74.15
16/11/2023,12:23,161.72,62.00,23.40,74.12,23.41,74.15
16/11/2023,12:24,169.70,62.00,23.40,74.12,23.41,74.15
16/11/2023,12:25,169.70,62.00,23.40,74.12,23.41,74.15
16/11/2023,12:26,169.70,62.00,23.50,74.30,23.52,74.34
16/11/2023,12:27,165.68,61.90,23.40,74.12,23.41,74.14
16/11/2023,12:28,173.80,61.90,23.50,74.30,23.52,74.34
16/11/2023,12:29,173.80,61.90,23.50,74.30,23.52,74.34
16/11/2023,12:30,177.97,61.90,23.50,74.30,23.52,74.34
16/11/2023,12:31,177.97,62.10,23.60,74.48,23.64,74.55
16/11/2023,12:32,182.21,62.20,23.60,74.48,23.64,74.55
16/11/2023,12:33,190.92,62.30,23.70,74.66,23.75,74.75
16/11/2023,12:34,182.21,62.10,23.80,74.84,23.86,74.94
16/11/2023,12:35,182.21,62.00,23.80,74.84,23.85,74.94
16/11/2023,12:36,173.80,61.70,23.80,74.84,23.85,74.92
16/11/2023,12:37,177.97,61.60,23.80,74.84,23.84,74.92
16/11/2023,12:38,173.80,61.60,23.80,74.84,23.84,74.92
16/11/2023,12:39,177.97,61.80,23.70,74.66,23.74,74.73
16/11/2023,12:40,182.21,61.80,23.70,74.66,23.74,74.73
16/11/2023,12:41,186.53,61.90,23.70,74.66,23.74,74.74
16/11/2023,12:42,173.80,62.00,23.70,74.66,23.74,74.74
16/11/2023,12:43,173.80,62.10,23.70,74.66,23.75,74.74
16/11/2023,12:44,169.70,62.10,23.70,74.66,23.75,74.74
16/11/2023,12:45,209.25,62.20,23.60,74.48,23.64,74.55
16/11/2023,12:46,199.93,62.20,23.70,74.66,23.75,74.75
16/11/2023,12:47,218.88,62.30,23.70,74.66,23.75,74.75
16/11/2023,12:48,214.02,62.50,23.80,74.84,23.87,74.96
16/11/2023,12:49,204.55,61.50,23.80,74.84,23.84,74.91
16/11/2023,12:50,199.93,60.90,23.80,74.84,23.83,74.89
16/11/2023,12:51,195.38,60.60,23.80,74.84,23.82,74.87
16/11/2023,12:52,169.70,60.50,23.70,74.66,23.71,74.67
16/11/2023,12:53,165.68,60.40,23.60,74.48,23.59,74.47
16/11/2023,12:54,161.72,60.70,23.60,74.48,23.60,74.48
16/11/2023,12:55,165.68,61.00,23.70,74.66,23.72,74.69
16/11/2023,12:56,186.53,60.60,23.80,74.84,23.82,74.87
16/11/2023,12:57,182.21,60.80,23.80,74.84,23.82,74.88
16/11/2023,12:58,177.97,60.60,23.80,74.84,23.82,74.87
16/11/2023,12:59,150.27,60.50,23.80,74.84,23.82,74.87
16/11/2023,12:60,161.72,60.40,23.80,74.84,23.81,74.86
16/11/2023,13:00,129.15,60.70,23.80,74.84,23.82,74.88
16/11/2023,13:01,125.86,60.90,23.90,75.02,23.94,75.08
16/11/2023,13:02,125.86,60.90,23.90,75.02,23.94,75.08
16/11/2023,13:03,122.62,60.80,24.00,75.20,24.04,75.28
16/11/2023,13:04,104.45,60.50,23.90,75.02,23.93,75.07
16/11/2023,13:05,104.45,60.40,23.90,75.02,23.92,75.06
16/11/2023,13:06,116.33,60.50,23.90,75.02,23.93,75.07
16/11/2023,13:07,119.44,60.50,23.80,74.84,23.82,74.87
16/11/2023,13:08,122.62,61.10,23.80,74.84,23.83,74.90
16/11/2023,13:09,129.15,61.20,23.90,75.02,23.94,75.10
16/11/2023,13:10,135.94,61.00,24.00,75.20,24.05,75.29
16/11/2023,13:11,150.27,60.70,24.00,75.20,24.04,75.27
16/11/2023,13:12,161.72,60.50,24.00,75.20,24.04,75.26
16/11/2023,13:13,161.72,60.40,24.00,75.20,24.03,75.26
16/11/2023,13:14,161.72,60.40,24.00,75.20,24.03,75.26
